EN,NT,Sem. Cat.,Sub Sem. Cat.,Speaker 1,Speaker 2,Source,,,,,,,,,,,,,
trail,tan,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
point on river ,edelaan,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
portage,hudato,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
rapids,tu tadintʼi,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
red paint,tsi,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
ochre,tsi,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
river,tagéʼ,land and water,river,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
across river,núndínʼ,land and water,river,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
riverbank,tagéʼ daak,land and water,river,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
riverbank,tagéʼ tlʼadaak mbo daak,land and water,river,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
bend in river,sáánhelin,land and water,river,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
bottom of river,tetlʼaak,land and water,river,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
bottom of river,tyaak,land and water,river,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
downriver,tagéʼ de,land and water,river,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
fork in river,tagéʼ łédlin,land and water,river,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
head of river,tagéʼ tlʼaat,land and water,river,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
mouth of river,tagéʼ dechaak,land and water,river,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
narrow place on river,tadatthʼan,land and water,river,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
upriver,tagéʼ nday,land and water,river,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
rock,tthi,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
rocky place,tthi te,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
rock slide,tetthʼo,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
sand,the,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
fine sand,the ddhyát,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
sandbar,the ndu,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
shore,tambe,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
shortcut,ukʼetsʼohodeden,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
sign,tan géʼ hotsʼedinʼin,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
marker,tan géʼ hotsʼedinʼin,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
slough,teʼe,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
slough,teheʼe,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
spring (water),tédlínʼ,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
steam (from kettle),tezru,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
steam (on river),ʼráʼ,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
swampy place,tu tlyat,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
timber (stand),tsʼok néshen,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
timberline,tthʼimbe,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
trail,tan,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
toboggan trail,dlu tan,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
trapline,khyá tan,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
valley,intlʼa,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
valley,etlʼaat,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
water,tu,land and water,water,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
cloudy water,tu dzen elin,land and water,water,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
drop of water,tu detsʼínʼ,land and water,water,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
mineral water,tu denintsʼak hínlin,land and water,water,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
open water,taddhaw,land and water,water,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
puddle,tu dedéten,land and water,water,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
rain water,chen túʼ,land and water,water,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
rising water,tu hínlin,land and water,water,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
snow water,zha túʼ,land and water,water,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
muddy water,tu tthʼáwʼ,land and water,water,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
waterfall,tu dzenédélin,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
waves,ta,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
big waves,ta tsʼecho,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
well,tu chʼáák,land and water,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
animal (any),nyana,mammals,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
animal (any),nena,mammals,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
animal flesh,nyana tʼángyánʼ,mammals,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
animal flesh,nyana gúnzáwʼ,mammals,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
animal fur,nyana dhóʼ,mammals,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
animal hole,nyana aan,mammals,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
anmal den,nyana aan,mammals,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
animal horn,nyana díʼ,mammals,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
animal tail,nyana chíʼ,mammals,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
animal tracks,nyana kyáák,mammals,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
bat,dluan ánedaw,mammals,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
bear,sra,mammals,bear,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
black bear,sra denétʼro,mammals,bear,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
brown bear,sra dettho,mammals,bear,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
bear cub,sra zra,mammals,bear,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
female bear,sra détʼóʼ,mammals,bear,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
grizzly bear,sra cho,mammals,bear,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
grizzly bear with 2 or 3 cubs,sra łencho łezhi nédíʼ,mammals,bear,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
make bear,sra téʼ,mammals,bear,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
silver-tip bear,sra degay,mammals,bear,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
small black bear,sra dezayn,mammals,bear,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
beaver,tséʼ,mammals,beaver,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
family of beavers,tséʼ dezra,mammals,beaver,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
albino beaver,tséʼ degay,mammals,beaver,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
blue beaver (rare),tséʼ denintlʼrun,mammals,beaver,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
largest beaver,tséʼ cho,mammals,beaver,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
next-largest beaver (5-6 years old),tséʼ dende,mammals,beaver,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
4 year-old beaver,tséʼ tadeʼyáʼ,mammals,beaver,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
2-3 year-old beaver,tséʼ kwat,mammals,beaver,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
1 year-old beaver,tséʼ zra,mammals,beaver,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
beaver castor,tséʼ línʼ,mammals,beaver,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
beaver dam,tséʼ áwʼ,mammals,beaver,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
beaver dam,tséʼ deninʼáwʼ,mammals,beaver,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
beaver house,tséʼ kínʼ,mammals,beaver,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
caribou,hudzi,mammals,caribou,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
caribou,udzi,mammals,caribou,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
caribou herd,hudzi ndróʼ,mammals,caribou,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
female caribou,hudzi détʼóʼ,mammals,caribou,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
largest caribou,hudzi cho,mammals,caribou,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
second largest caribou,etsók,mammals,caribou,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
next largest caribou,dezhú,mammals,caribou,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
smallest caribou,hudzi zra,mammals,caribou,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
smallest caribou,detsyak,mammals,caribou,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
running caribou,hudzi dedétsʼyáʼ,mammals,caribou,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
dog,tlin,mammals,dog,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
bitch (dog),tlin tsʼíʼ,mammals,dog,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
old dog,tlin shen,mammals,dog,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
old dog,tlin shaan,mammals,dog,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
pup,tlin zra,mammals,dog,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
pup,tlina,mammals,dog,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
fox,nuntthi,mammals,fox,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
black fox,nuntthi denétʼro,mammals,fox,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
dark cross fox,kekáák detʼaw,mammals,fox,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
red fox,zekʼaan,mammals,fox,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
silver-grey fox,nuntthi kádegay,mammals,fox,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
white fox,nuntthi dekʼaw,mammals,fox,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
groundhog,dendi,mammals,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
gopher,tsaw,mammals,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
lynx,néde,mammals,lynx,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
blue lynx (rare),néde denintlʼrun,mammals,lynx,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
brown lynx,néde dettho,mammals,lynx,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
grey lynx,néde ukádegay,mammals,lynx,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
light brown lynx,néde ukádettho,mammals,lynx,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
silver-top lynx,néde denindlyóʼ,mammals,lynx,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
marten,nuntʼínʼ,mammals,marten,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
black marten (rare),nuntʼínʼ denétʼro,mammals,marten,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
brown marten,nuntʼínʼ detʼaw,mammals,marten,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
mink,tedhoga,mammals,mink,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
mink,tedrua,mammals,mink,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
black mink,tedhoga denétʼro,mammals,mink,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
brown mink,tedhoga dettho,mammals,mink,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
moose,dendyák,mammals,moose,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
moose,denyák,mammals,moose,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
largest bull moose,dendyák cho,mammals,moose,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
next largest bull moose,ténʼ zraan,mammals,moose,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
moose calf,detsik,mammals,moose,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
moose cow,dezra,mammals,moose,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
mouse,dluan,mammals,mouse,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
mouse,dlúnʼ,mammals,mouse,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
mouse with long nose and ears,dluan tsin ndo,mammals,mouse,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
muskrat,dzana,mammals,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
otter,króde,mammals,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
pika,tthi dlína,mammals,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
porcupine,dechʼok,mammals,porcupine,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
porcupine quills,dechʼok chʼóʼ,mammals,porcupine,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
rabbit ,ge,mammals,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
sheep,mbak,mammals,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
female sheep,mbak détʼóʼ,mammals,sheep,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
lamb,mbak zra,mammals,sheep,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
largest ram,sezhaan cho,mammals,sheep,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
next largest ram,mbak dezhu,mammals,sheep,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
goat,ezhunshíʼ,mammals,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
squirrel,dlák,mammals,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
weasel,nembia,mammals,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
weasel,nehmbia,mammals,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
wolf,egay,mammals,wolf,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
pack of wolves,egay mbéʼ,mammals,wolf,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
pack of wolves,egay ndróʼ,mammals,wolf,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
wolverine,néye,mammals,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
one,łyák tʼi,numerals,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
two,łéketʼi,numerals,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
three,tádetʼi,numerals,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
four,łíntʼi,numerals,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
five,ulákʼo,numerals,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
ten,ulákʼo łéketʼi,numerals,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
boy,dekʼáána,people,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
Burwash people,Łuʼaana hotʼyánʼ,people,people from a specific place,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
cannibal,dan hodyáʼ,people,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
man-eater,dan hodyáʼ,people,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
chief,dan héki,people,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
chief,dan hanozhíʼ,people,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
Coast Indian,Elróʼ,people,people from a specific place,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
Coast woman,Adáka yéndyáʼ,people,people from a specific place,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
Crow (Clan),Tsʼekʼi,people,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
Crow (Clan),Handyáát,people,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
Dawson people,Ezhaan,people,people from a specific place,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
Eskimo,Enakay,people,people from a specific place,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
girl,ayéndyáʼ zra,people,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
girl who just became a woman,tsʼetʼyan,people,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
kids,dunyána,people,,Tommy McGinty,Johnson Edwards,Selkirk Indian Language Noun Dictionary - Ritter (1977) ,,,,,,,,,,,,,
